,Name,Education,Undergraduate,Master's
73,Jenny Lee,"Bachelor of Arts/Science, Cornell University; Master of Science, Cornell University; Master of Business Administration, Kellogg School of Management","Bachelor of Arts/Science, Cornell University","Master of Business Administration, Northwestern University"
74,Michael Eisenberg,"Bachelor of Arts/Science, Yeshiva University","Bachelor of Arts/Science, Yeshiva University",N/A
75,David Yuan,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Harvard University","Master of Business Administration, Stanford University"
76,Kirsten Green,"Bachelor of Arts/Science, University of California, Los Angeles","Bachelor of Arts/Science, University of California, Los Angeles",N/A
77,Quan Zhou,"Bachelor of Arts/Science, University of Science and Technology of China; Master of Science, Chinese Academy of Sciences","Bachelor of Arts/Science, University of Science and Technology of China","Master of Science, Chinese Academy of Sciences"
78,Roger Ehrenberg,"Bachelor of Arts/Science, University of Michigan; Master of Business Administration, Columbia University","Bachelor of Arts/Science, University of Michigan","Master of Business Administration, Columbia University"
79,Navin Chaddha,"Bachelor of Arts/Science, Indian Institute of Technology; Master of Science, Stanford University","Bachelor of Arts/Science, Indian Institute of Technology","Master of Science, Stanford University"
80,Ron Conway,"Bachelor of Arts/Science, San Jose State University","Bachelor of Arts/Science, San Jose State University",N/A
81,Peter Levine,"Bachelor of Arts/Science, Boston University; Master of Business Administration, Massachusetts Institute of Technology","Bachelor of Arts/Science, Boston University","Master of Business Administration, Massachusetts Institute of Technology"
82,Neil Rimer,"Bachelor of Arts/Science, Stanford University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Stanford University","Master of Business Administration, Harvard University"
83,David Chao,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Brown University","Master of Business Administration, Stanford University"
84,Randy Glein,"Bachelor of Arts/Science, University of Florida; Master of Science, University of Southern California; Master of Business Administration, Anderson School of Management","Bachelor of Arts/Science, University of Florida","Master of Business Administration, University of California Los Angeles"
85,Ted Schlein,"Bachelor of Arts/Science, University of Pennsylvania","Bachelor of Arts/Science, University of Pennsylvania",N/A
